broadCategory,courseLanguage,courseLink,courseRating,courseTitle,instructorLink,instructorRating,instructorTotalCourse,lastUpdated,subcategory,subcategory1,subtitle,unitSold,
Office Productivity,English,https://www.udemy.com/course/pivot-table-to-power-bi/,4.4,From Excel to Power BI,https://www.udemy.com/user/55749e4485e16/,4.4,2,7/2021,Microsoft,Excel,"Learn Power BI using the knowledge of Excel you already have. Fast, in-depth, practical, useful.",9874,
Microsoft,English,https://www.udemy.com/course/split-access-database/,4.7,Microsoft Access: Networking Made Simple,https://www.udemy.com/user/brucemyron/,4.6,20,6/2021,Microsoft Access,Microsoft Access,How to Setup and Easily Maintain Access Databases on a Windows Network,4339,
Office Productivity,English,https://www.udemy.com/course/excel-for-accountants-volume-1/,4.1,Excel for Accountants: Volume 1,https://www.udemy.com/user/jefflenning/,4.5,4,12/2014,Microsoft,Excel,Learn how to complete your job tasks more quickly and build a strong foundation.,2809,
Office Productivity,English,https://www.udemy.com/course/excel-in-60-minutes/,4,Excel for Beginners,https://www.udemy.com/user/umar-iqbal-4/,4.2,3,9/2020,Microsoft,Excel,Learn the fundamentals of Excel!,17915,
Office Productivity,English,https://www.udemy.com/course/complete-powerpoint-presentation-design/,4.7,PowerPoint Masterclass - Presentation Design & Animation,https://www.udemy.com/user/andrzejpach/,4.6,24,6/2021,Microsoft,PowerPoint,"Everything you need to make advanced PowerPoint presentation slides, animations & videos. Get advanced at PowerPoint",19237,
Office Productivity,English,https://www.udemy.com/course/microsoft-onenote-2013-like-a-boss/,4.6,Microsoft OneNote Like a Boss. The Definitive Course.,https://www.udemy.com/user/brianculp2/,4.5,10,4/2021,Microsoft,OneNote,100+ lessons. Always up to date - UWP and Office 365. Get organized, no more paper notes! FREE keyboard shortcut guide,21620
Office Productivity,English,https://www.udemy.com/course/advanced-excel-charts-graphs/,4.6,"Microsoft Excel - Data Visualization, Excel Charts & Graphs",https://www.udemy.com/user/maven-analytics/,4.6,6,1/2021,Microsoft,Excel,"Master 20+ Excel charts, build advanced Excel visuals & learn data analysis with a top Excel instructor (Excel 2016+)",102012,
Microsoft,English,https://www.udemy.com/course/learn-microsoft-excel-powerpoint-and-word-2013/,4.4,"Master Microsoft Excel, PowerPoint and Word 2013 - 27 Hours",https://www.udemy.com/user/simonsezit/,4.5,174,2/2021,Excel,Excel,"The Most Convenient Way to Boost Your Confidence And Learn MS Office 2013 Inside And Out—Quickly, No Travel or Classes.",3787,
Office Productivity,English,https://www.udemy.com/course/sharepoint-2013-complete-training/,4.5,SharePoint 2013 Complete Training,https://www.udemy.com/user/kyle-pew/,4.6,19,2/2019,Microsoft,SharePoint,A complete A-Z SharePoint 2013 guide for office workers,37724,
Other Office Productivity,English,https://www.udemy.com/course/must-have-tools-for-virtual-assistants/,4.6,Must-Have Tools for Virtual Assistants,https://www.udemy.com/user/erin-booth/,4.7,16,8/2021,Virtual Assistant,Virtual Assistant,Step by step tutorials for over 30 tools that will make your Virtual Assistant business and productivity skyrocket!,3127,
SAP,English,https://www.udemy.com/course/sap-s4hana-finance-training-fico/,4.3,SAP S/4HANA Finance Training (vs SAP FICO),https://www.udemy.com/user/rana-w-mehmood/,4.3,6,1/2021,SAP FICO,SAP FICO,SAP S/4HANA Finance configuration and End-User processes as compared to SAP FICO,4658,
