broadCategory,courseLanguage,courseLink,courseRating,courseTitle,instructorLink,instructorRating,instructorTotalCourse,lastUpdated,subcategory,subcategory1,subtitle,unitSold,
Office Productivity,English,https://www.udemy.com/course/master-all-the-ms-excel-macros-and-the-basics-of-excel-vba/,4.2,Master all the MS Excel Macros and the basics of Excel VBA,https://www.udemy.com/user/ataouyl-yassin/,4.2,21,11/2020,Microsoft,Excel,Learn automation of tasks with Excel Macros and Excel VBA With different Excel Projects,99216,
Office Productivity,English,https://www.udemy.com/course/excel-beginner-to-advanced/,4.5,Excel - Microsoft Excel Beginner to Advanced [2021],https://www.udemy.com/user/art-mart-2/,4.6,7,1/2021,Microsoft,Excel,"Excel Course: Microsoft Excel From Beginner to Advanced, Ms Excel Formulas, Chart Tips & Tricks in Excel 2019/Office 365",132396,
Office Productivity,English,https://www.udemy.com/course/shortest-powerpoint/,4.5,Ultimate Guide to Microsoft PowerPoint for All Levels,https://www.udemy.com/user/jedguinto/,4.5,18,8/2019,Microsoft,PowerPoint,"If you need to up-skill for your job or looking to land one, then this PowerPoint training will get you there!",36292,
Office Productivity,English,https://www.udemy.com/course/shortest-microsoft-word/,4.3,Microsoft Word 2019 for All Levels + Job Guide,https://www.udemy.com/user/jedguinto/,4.5,18,8/2019,Microsoft,Microsoft Word,"Comes with a unique quick start guide which you can finish in an hour! Everything after, leads to Mastery!",19025,
Office Productivity,English,https://www.udemy.com/course/microsoft-excel-pro-tips-for-power-users/,4.6,Microsoft Excel Pro Tips: Go from Beginner to Advanced Excel,https://www.udemy.com/user/maven-analytics/,4.6,6,1/2021,Microsoft,Excel,"Master 75+ Excel tips to build advanced Excel skills: formulas, pivot tables, charts, data analysis & data visualization",19135,
Office Productivity,English,https://www.udemy.com/course/oracle-plsql-fundamentals-vol-i-ii/,4.5,Oracle PL/SQL Fundamentals vol. I & II,https://www.udemy.com/user/intellezy/,4.4,219,5/2020,Oracle,Pl/SQL,A complete introduction to PL/SQL database programming language,23841,
Office Productivity,English,https://www.udemy.com/course/microsoft-excel-2016-excel-from-beginner-to-advanced/,4.7,Master Microsoft Excel - Excel from Beginner to Advanced,https://www.udemy.com/user/kirt-kershaw/,4.5,15,4/2021,Microsoft,Excel,"Become an Excel Expert in this Microsoft Excel A-Z Course (Microsoft Excel 2010, 2013, 2016, 2019 and 365).",2707,
Microsoft,English,https://www.udemy.com/course/excelnext_excel/,4.6,Advanced Excel - Beginner to Ninja level (includes Charts),https://www.udemy.com/user/excelnext/,4.4,26,8/2020,Excel,Excel,"Learn Excel Online for MIS Reporting, Data Cleaning, Data Analysis, Charting, Time-saver tricks with Examples",2770,
Office Productivity,English,https://www.udemy.com/course/getting-started-with-microsoft-excel/,4.5,Microsoft Excel Zero to Advanced: Data Analysis & Dashboards,https://www.udemy.com/user/irfansharif/,4.5,6,5/2021,Microsoft,Excel,"Microsoft Excel Beginner to Advanced w/ Data Analysis, & Dashboards. Learn Pro Tips, Shortcuts, Formulas and Functions.",139682,
Office Productivity,English,https://www.udemy.com/course/sap-bw-74-zero-to-hero/,4.2,SAP BW 7.4 ZERO TO HERO - MODELING,https://www.udemy.com/user/vamsekiran/,4,4,3/2017,SAP,SAP BW,LEARN SAP BW MODELING FROM THE SCRATCH,3068,
Office Productivity,English,https://www.udemy.com/course/sap-s4-hana/,4.2,The Complete SAP S/4HANA Bootcamp 2021,https://www.udemy.com/user/george-boyle-9/,4.3,3,3/2021,SAP,SAP,"The most complete course available on SAP ERP and S4 HANA. 6+ hours of videos, activities, demos, quizzes, & more",69691,
Office Productivity,English,https://www.udemy.com/course/sap-financial-accounting-overview/,3.9,Learn SAP Financial Accounting - Online Training,https://www.udemy.com/user/petermoxon/,4.4,7,3/2014,SAP,SAP Financial Accounting,"Learn SAP Financials with Peter Moxon, Ideal Beginner SAP FI Training Course! - Unlimited Life Time Access + Updates!",4335,
Office Productivity,English,https://www.udemy.com/course/imovie-course/,4.7,iMovie - Video editing for beginners on Mac OS.,https://www.udemy.com/user/colinmarks/,4.5,9,9/2021,Apple,iMovie,"Get the basics of iMovie first, then become an imovie master. The complete iMovie course designed for beginners.",2753,
Office Productivity,English,https://www.udemy.com/course/the-ultimate-quickbooks-pro-training-bundle/,4.7,The Ultimate QuickBooks Pro Training Bundle - 65+ Hours,https://www.udemy.com/user/simonsezit/,4.5,174,9/2021,Other Office Productivity,QuickBooks Pro,"Master QuickBooks Pro with this training bundle consisting of 9 courses, 65+ hours, and over 700 videos.",19758,
Microsoft,English,https://www.udemy.com/course/30-minute-outlook-training/,4.1,MS Outlook Training for Complete Beginners - 2 Minute Videos,https://www.udemy.com/user/jedguinto/,4.5,18,8/2019,Microsoft Outlook,Microsoft Outlook,Learn all the basics of getting started with Microsoft Outlook in UNDER AN HOUR with ZERO PRIOR EXPERIENCE!,16826,
Office Productivity,English,https://www.udemy.com/course/learn-g-suite/,4,Google Workspace (G Suite) Ultimate Course 2021,https://www.udemy.com/user/josh-werner/,4,69,8/2021,Google,Google Workspace (G Suite),Everything you need to know about Google Workspace (G Suite),107945,
Office Productivity,English,https://www.udemy.com/course/office-365-sites/,4.3,Microsoft 365 SharePoint Sites,https://www.udemy.com/user/intellezy/,4.4,219,3/2019,Microsoft,Microsoft Office 365,"Understand Sites, navigation, libraries, searching, views, permissions, and organization of Microsoft 365 Sites.",6202,
Office Productivity,English,https://www.udemy.com/course/how-to-create-an-awesome-animation-in-keynote/,4.9,How to create an awesome demo video in Keynote,https://www.udemy.com/user/miguelhernandez/,4.3,8,2/2017,Apple,Apple Keynote,Learn to animate a cool demo video for your business with just Keynote easily with this Keynote tutorial,5883,
Microsoft,English,https://www.udemy.com/course/microsoft-office-2016-training-course-bundle/,4.1,Microsoft Office 2016 Essential Training: 9 Course Bundle,https://www.udemy.com/user/simonsezit/,4.5,174,2/2021,Microsoft Office 365,Microsoft Office 365,"Comprehensive, all-in-one training to get the most out of Microsoft Office 2016. 9-in-1 courses with 70 hours of video.",6984,
Office Productivity,English,https://www.udemy.com/course/excel-with-excel-pivot-tables-free-tutorial/,4.6,Microsoft Excel Pivot Tables - Master Excel Pivot Tables!,https://www.udemy.com/user/john2373/,4.6,12,8/2020,Microsoft,Pivot Tables,"Excel with Microsoft Excel Pivot Tables & Data Analysis - Excel 2010, Excel 2013, Excel 2016, Excel 2019, Office 365",32531,
Office Productivity,English,https://www.udemy.com/course/quick-start-excel-getting-started-with-excel/,4.8,Get Started With Microsoft Excel In 1 Hour,https://www.udemy.com/user/jenniferbailey3/,4.6,5,2/2019,Microsoft,Excel,In this course I will show you step-by-step how to set up a fully functioning Microsoft Excel spreadsheet.,22607,
Office Productivity,English,https://www.udemy.com/course/microsoft-word-from-beginner-to-advanced/,4.5,Master Microsoft Word - Word from Beginner to Advanced,https://www.udemy.com/user/kirt-kershaw/,4.5,15,4/2021,Microsoft,Microsoft Word,"Master the most famous Word processing tool, Microsoft Word. Microsoft Word 2010, 2013, 2016, 2019 and 365",4633,
Office Productivity,English,https://www.udemy.com/course/google-data-studio-by-starttech/,4.5,Google Data Studio A-Z for Data Visualization and Dashboards,https://www.udemy.com/user/start-tech-academy/,4.4,40,4/2021,Google,Google Data Studio,Use Google Data Studio to create reports & data visualizations from Google Sheets| Google Analytics| Google Ads|BigQuery,150170,
Other Office Productivity,English,https://www.udemy.com/course/slack-less-email-more-productive/,4.5,Slack: Less email. More productive.,https://www.udemy.com/user/urisoglowek/,4.3,12,2/2016,Slack,Slack,Learn how to use slack to enjoy a simpler and more productive work life.,3130,
SAP,English,https://www.udemy.com/course/sap-sd-order-to-cash-simplified-for-beginners/,4.5,SAP SD - Order to Cash Simplified for Beginners,https://www.udemy.com/user/janedoe5/,4.5,6,6/2020,SAP SD,SAP SD,Make Your First Steps in the SAP Sales and Distribution Processes (SD),2565,
Office Productivity,English,https://www.udemy.com/course/mastering-your-mac-2017-10x-your-productivity/,4.7,Mastering Your Mac : 10x Your Productivity,https://www.udemy.com/user/885d2a5c-9a8e-4317-8f68-63297c0259b6/,4.6,8,6/2020,Apple,Mac Basics,Learn to navigate your Mac in an easy step-by-step way. Freedom to learn at your own pace.,5342,
Microsoft,English,https://www.udemy.com/course/access-vba-for-nonprogrammers-increase-your-earning-power/,4.5,Microsoft Access VBA for Non Programmers - YOU Can Do This!,https://www.udemy.com/user/brucemyron/,4.6,20,1/2021,Access VBA,Access VBA,Microsoft Access VBA can be learned quickly even if you've never done programming! Make complex jobs easy with VBA!,17135,
Microsoft,English,https://www.udemy.com/course/the-complete-powerpoint-and-presentation-skills-masterclass/,4.4,The Complete PowerPoint and Presentation Skills Masterclass,https://www.udemy.com/user/tjwalker2/,4.6,18,9/2021,PowerPoint,PowerPoint,"Learn Microsoft PowerPoint, Presentation Skills, PowerPoint 365, and become a Master at Creating/Delivering PowerPoint",83136,
Google,English,https://www.udemy.com/course/google-sheets-masterclass/,4.8,Google Sheets - The Comprehensive Masterclass,https://www.udemy.com/user/leila-gharani/,4.7,9,9/2021,Google Sheets,Google Sheets,"Learn Google Sheets in 2021! Solve Complex Data Analysis Problems. Become an Expert: Learn Pivot Tables, QUERY & more",9267,
Office Productivity,English,https://www.udemy.com/course/excel-interactive-dashboards-and-data-analysis/,4.6,Excel Interactive Dashboards and Data Analysis,https://www.udemy.com/user/ianlittlejohn2/,4.6,17,6/2021,Microsoft,Excel Dashboard,"Learn to create POWERFUL, INTERACTIVE dashboards in Excel in minutes with no coding",5116,
Office Productivity,English,https://www.udemy.com/course/microsoft-excel-beginner-to-advanced-y/,4.6,Microsoft Excel - From Excel Beginner to Excel Expert,https://www.udemy.com/user/martynblythin/,4.6,3,11/2020,Microsoft,Excel,"Learn Pivot Tables, Formulas, Charts, Data Analysis, Dashboards, VBA, Macros & More for Excel 2010, 2013 or Excel 2016",11105,
Office Productivity,English,https://www.udemy.com/course/excel-macros-excel-vba-for-non-programmers/,4.5,Excel Macros & Excel VBA Programming for Beginners,https://www.udemy.com/user/andrewex/,4.5,7,11/2020,Microsoft,Excel Macros,Become a proficient Excel Macros and Excel VBA Programmer in very short time. Excel 2019 Macros & VBA Examples included.,3480,
Office Productivity,English,https://www.udemy.com/course/plsql-by-example/,4.4,PL/SQL by Example - Beginner to Advanced PL/SQL,https://www.udemy.com/user/amarnathrpanyam/,4.4,9,12/2018,Oracle,Pl/SQL,Using PL/SQL learn how to combine the efficiency of SQL & Procedural Language(PL) to build a powerful PL/SQL Application,22746,
Other Office Productivity,English,https://www.udemy.com/course/salesforcecom-essentials/,4,A Business Manager's Complete Guide to SalesForce CRM,https://www.udemy.com/user/wileyfordummies/,4.4,31,12/2014,Salesforce,Salesforce,"Improve collaboration, elevate proficiency and facilitate more productive business relationships in your organization.",5331,
SAP,English,https://www.udemy.com/course/debugging-sap-abap-code-for-non-programmers/,4.7,Debugging SAP ABAP Code For Non Programmers,https://www.udemy.com/user/abdulmaulud/,4.6,2,5/2021,SAP ABAP,SAP ABAP,Quickly learn core SAP commands and ABAP debugging method without having to learn ABAP programming,3820,
Office Productivity,English,https://www.udemy.com/course/servicenow-kickstart/,4.2,ServiceNow Kickstart: Basic Skills for CMDB Administration,https://www.udemy.com/user/shivrajvichare/,4.2,2,2/2014,Other Office Productivity,ServiceNow,ServiceNow Training for basic ServiceNow Administration to support the configuration of the CMDB,16330,
Office Productivity,English,https://www.udemy.com/course/excel-data-analysis-for-dummies/,4.5,Excel Data Analysis For Dummies,https://www.udemy.com/user/wileyfordummies/,4.4,31,6/2014,Microsoft,Data Analysis,​Harness the Power of Excel to Discover What Your Numbers are Hiding,5347,
Office Productivity,English,https://www.udemy.com/course/introduction-to-microsoft-project-2013/,4.4,Introduction to Microsoft Project 2013,https://www.udemy.com/user/simonsezit/,4.5,174,2/2021,Microsoft,Microsoft Project,"Can You Use The Internet? If Yes, Then You Can Learn Microsoft Project 2013 The Easy Way - On Your Schedule.",11670,
Microsoft,English,https://www.udemy.com/course/excel-vba-programming/,4.7,Excel VBA Programming - The Complete Guide,https://www.udemy.com/user/borispaskhaver/,4.7,6,9/2020,Excel VBA,Excel VBA,"Automate your Microsoft Excel workflow, accelerate your productivity, and master programming with VBA! Beginners welcome",62698,
Microsoft,English,https://www.udemy.com/course/microsoft-excel-from-a-z/,4.6,Microsoft Excel from A-Z: Beginner To Expert Course,https://www.udemy.com/user/juangalvan3/,4.6,1,12/2020,Excel,Excel,"Master pivot tables, formulas, macros, vba, data analysis and learn how to land your first job as an Excel expert!",95183,
Microsoft,English,https://www.udemy.com/course/excel-data-visualization-techniques-for-impressive-reports/,4.6,Excel Charts - Visualization Secrets for Impressive Charts,https://www.udemy.com/user/leila-gharani/,4.7,9,9/2021,Excel Charts,Excel Charts,Gain Highly Advanced Excel Skills to Create Impressive Excel Graphs for your Management Reports (Excel 2010),22765,
Office Productivity,English,https://www.udemy.com/course/project-2013-like-a-boss/,4.5,Microsoft Project 13/16/19 - Like a Boss (Exam 74-343 prep),https://www.udemy.com/user/brianculp2/,4.5,10,10/2018,Microsoft,Microsoft Project,"From Beginner to Boss with Project 2013, 2016, 2019. Incl. keyboard shortcuts and many Quick Reference Guides.",3027,
Office Productivity,English,https://www.udemy.com/course/the-ultimate-microsoft-access-2013-training-bundle/,4.4,The Ultimate Microsoft Access 2013 Training Bundle 19 Hours,https://www.udemy.com/user/simonsezit/,4.5,174,9/2021,Microsoft,Microsoft Access,"The Most Convenient Way to Boost Your Confidence And Learn MS Access 2013 Inside And Out—Quickly, No Travel or Classes.",8705,
Office Productivity,English,https://www.udemy.com/course/sql-performance-tuning-masterclass/,4.6,Oracle SQL Performance Tuning Masterclass 2021,https://www.udemy.com/user/mer-daaan/,4.5,7,9/2021,Oracle,Oracle SQL,Become an Expert on Oracle SQL Tuning and Solve All The Performance Problems of Your SQL Queries and the Database!,23533,
Office Productivity,English,https://www.udemy.com/course/microsoft-project-2016-beginner-and-intermediate-training/,4.5,Microsoft Project 2016 Beginner to Intermediate Course,https://www.udemy.com/user/simonsezit/,4.5,174,2/2021,Microsoft,Microsoft Project,Claim 8.5 PDUs - The Most Convenient Way to Boost Your Confidence And Learn MS Project 2016 Inside And Out—Quickly,12294,
Microsoft,English,https://www.udemy.com/course/excel-smart-tips/,4.7,Smart Tips: Excel,https://www.udemy.com/user/alexmozes/,4.6,4,11/2019,Excel,Excel,"Quick tips to up your productivity in Excel: Master functions, format your spreadsheets, & analyze data with ease",13728,
Office Productivity,English,https://www.udemy.com/course/sharepoint-2016-site-owner-user-365-3-course-bundle/,4.6,"SharePoint 2016 Site Owner, User, & 365 (3-course bundle)",https://www.udemy.com/user/intellezy/,4.4,219,3/2018,Microsoft,SharePoint,The ultimate SharePoint course bundle with over 200 videos!,7375,
Office Productivity,English,https://www.udemy.com/course/excel-quick-start-guide-from-beginner-to-expert/,4.5,Zero to Hero in Microsoft Excel: Complete Excel guide 2021,https://www.udemy.com/user/start-tech-academy/,4.4,40,6/2021,Microsoft,Excel,"A Beginner's Guide to Microsoft Excel - Learn Excel Charts, Spreadsheets, Formulas, Shortcuts, Macros and Tips & Tricks",372086,
Microsoft,English,https://www.udemy.com/course/excel-hacks-and-tips-with-excel-2016/,4.5,"Excel Shortcuts, Hacks & Tricks: 100+ Powerful Excel Tips",https://www.udemy.com/user/andrewex/,4.5,7,11/2020,Excel Shortcut,Excel Shortcut,"Master Excel with 100+ Excel Tips & Hacks, from an Excel Best Seller Instructor. Excel Project Files included.",3158,
Microsoft,English,https://www.udemy.com/course/excel-vba-course/,4.3,Excel VBA - The Complete Excel VBA Course for Beginners,https://www.udemy.com/user/alanmurray4/,4.5,5,9/2021,Excel VBA,Excel VBA,Learn Excel VBA and take your spreadsheets to the next level.,7614,
Office Productivity,English,https://www.udemy.com/course/data-analysis-with-google-sheets-pivot-tables-and-charts/,4.7,Complete Introduction to Google Sheets Pivot Tables,https://www.udemy.com/user/ianlittlejohn2/,4.6,17,2/2021,Google,Google Sheets,Learn how to create powerful Pivot Tables and Graphs using Google Sheets,2524,
Office Productivity,English,https://www.udemy.com/course/salesforcecom-new-user-training/,4.4,Salesforce New User Training,https://www.udemy.com/user/indigodutton/,4.4,5,8/2016,Other Office Productivity,Salesforce,"Salesforce CRM: Turn curiosity into success by learning what it is, what to do with it, and how to use it successfully.",17290,
Office Productivity,English,https://www.udemy.com/course/use-excel-like-a-pro-fast/,4.6,Use Excel Like A Pro. Fast.,https://www.udemy.com/user/kieranluke/,4.5,2,3/2021,Microsoft,Excel,Go from spreadsheet rookie to rockstar,4472,
